"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"ICSP";;;
2;"U1";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATmega32U4";;;
3;"C1,C6";"C_0603_HandSoldering";2;"0.1µF";;;
4;"C2,C3";"C_0603_HandSoldering";2;"22pF";;;
5;"C4,C5,C7";"C_0603_HandSoldering";3;"1µF";;;
6;"J3";"Conn_USBmicro-B_Amphenol_10118194-0001LF";1;"MICRO_USB";;;
7;"R1";"R_0603_HandSoldering";1;"200k";;;
8;"R2,R3";"R_0805_HandSoldering";2;"22";;;
9;"RV1";"Potentiometer_Trimmer_Vishay_TS53YL";1;"POT";;;
10;"J2";"SNES_controller_port";1;"CONTROLLER_OUT";;;
11;"D1,D2";"D_SOD-123";2;"MBR0520";;;
12;"F1";"R_0603_HandSoldering";1;"Polyfuse";;;
13;"SW1";"SW_PUSH_6mm";1;"Reset_switch";;;
14;"R4";"R_0603_HandSoldering";1;"4.7k";;;
15;"Y1";"Crystal_SMD_5032-2pin_5.0x3.2mm_HandSoldering";1;"16MHz";;;
16;"DS1";"LCD_2004_Pitch2.54mm";1;"LCD20X4";;;
