"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H3,H2,H1";"MountingHole_3.4mm";4;"";;;
2;"U1";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATmega32U4";;;
3;"C1,C6";"C_0603_HandSoldering";2;"0.1µF";;;
4;"C2,C3";"C_0603_HandSoldering";2;"22pF";;;
5;"C4,C5,C7";"C_0603_HandSoldering";3;"1µF";;;
6;"R1";"R_0603_HandSoldering";1;"10k";;;
7;"R2,R3";"R_0805_HandSoldering";2;"22";;;
8;"RV1";"Potentiometer_Trimmer_Vishay_TS53YL";1;"POT";;;
9;"D1,D2";"D_SOD-123";2;"MBR0520";;;
10;"F1";"R_0603_HandSoldering";1;"500mA";;;
11;"SW1";"SW_PUSH_6mm";1;"Reset";;;
12;"Y1";"Crystal_SMD_5032-2pin_5.0x3.2mm_HandSoldering";1;"16MHz";;;
13;"R4,R8";"R_0603_HandSoldering";2;"1M";;;
14;"R5,R7";"R_0603_HandSoldering";2;"220";;;
15;"R6";"R_0603_HandSoldering";1;"0";;;
16;"DS1";"LCD_2004_Pitch2.54mm";1;"LCD20X4";;;
17;"J2";"SNES_controller_port";1;"Controller";;;
18;"J1";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"ICSP";;;
19;"Q1";"SOT-23_Handsoldering";1;"DMG2302UK-7";;;
20;"Q2";"SOT-23_Handsoldering";1;"DMP2215L-7";;;
21;"J3";"Conn_USBmicro-B_Amphenol_10118194-0001LF";1;"MICRO_USB";;;
